Pos,Player,Tm,Year,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
DE,Jadeveon Clowney,HOU,2016,2,14,14,0,0,0,0,0,0,0,0,0,0,0,40,6,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm"
DE,Brandon Graham,PHI,2016,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,5.5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm"
DE,Cliff Avril,SEA,2016,8,16,16,0,0,0,0,0,0,0,0,0,0,0,20,11.5,0,PFW: 1st Tm All-Conf.
DT,Aaron Donald,LAR,2016,2,16,16,0,0,0,0,0,0,0,0,0,0,0,36,8,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DT,Damon Harrison,NYG,2016,4,16,16,0,0,0,0,0,0,0,0,0,0,0,55,2.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm"
DT,Geno Atkins,CIN,2016,6,16,16,0,0,0,0,0,0,0,0,0,0,0,21,9,0,"PFW: 1st Tm All-Conf., SN: 1st Tm"
DT,Calais Campbell,ARI,2016,8,16,16,0,0,0,0,0,0,0,0,0,0,0,34,8,1,"AP: 2nd Tm, PFF: 1st Tm"
DT,Ndamukong Suh,MIA,2016,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,5,0,"PFW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
DT,Gerald McCoy,TAM,2016,6,15,15,0,0,0,0,0,0,0,0,0,0,0,26,7,0,AP: 2nd Tm
OLB,Von Miller,DEN,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,62,13.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
OLB,Vic Beasley,ATL,2016,1,16,12,0,0,0,0,0,0,0,0,0,0,0,32,15.5,0,"PFW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm"
OLB,Lorenzo Alexander,BUF,2016,9,16,16,0,0,0,0,0,0,0,0,0,0,0,56,12.5,1,"PFW: 1st Tm All-Conf., AP: 2nd Tm"
OLB,Ryan Kerrigan,WAS,2016,5,16,16,0,0,0,0,0,0,0,0,0,0,0,26,11,0,PFW: 1st Tm All-Conf.
